Tweets,"Labels (IND, GRP, OTH) (0,1,2)"
but its okbecause europe will soon rebel against them just like in spain and they will drive them out or they will be killed,1
all it means is there will be more of you to kill,1
i just hope when multiculturalism proves to be a real fail the plug will be pulled everywhere if not then time to kill your government,1
death to islam,1
death to islam,1
the quran can go burn itself in hell,0
we are killing them,1
death to islam,1
ok go overseas to attack islamic countries,1
muslims breed like fucking rabbits if not worse they are dirty scum killers and should all die a slow death like they do to humans and animals,1
we need to bomb the muslim scum from this planet they are nasty,1
it says we should bomb their countries into the stone age then when they come here looking for help we should what,2
sounds like its time to start castrating these camelmolesting savages,1
i personally will fight to the death here in the south to get rid of as many as i can,1
fuck you bitch die in hell piece of shit,0
yeah asrehole kill muslim long live christianitykill muslims to save n proect christianity thats what christians have been doing since last yrs recents christians killing muslims in afghanistaniraqpakistan kill kill kill muslims so that christianity survives kill for jesus because he had died our sins v r sinless so kill muslims for christianty for our lord jesus kiling muslims is not a sin christian n christianty wipe them off from the face of the earth only v r humans n ther r not,1
kill all religions,1
allahu akbarsoon we will conquer the world,1
and i will kill evey fucking muslim and arab,1
then i want christians killed too for infringing on the rights of other humans,1
yes and no it was meant to say kill all these fucking rats,1
were a religion of peace and well destroy america to prove it,1
solve the problem by castrating all muslim males at birth,1
all muslims should die,1
the main purpose of my religion is to destroy all other religions,1
hitler had the right idea,2
we will conquer the world very soon,1
fuck the rag heads and the goat fuckers those fat mustache wearing scum kill the muslim free your country,1
but they do need to deport any believers of the quran as it is not compatible with western cultures,2
death to the arab,1
the world need more hitler for kill those muslims,1
because the bastards breed like rats so we need to start putting out human sized rat traps to get rid of them,1
drop one good ol nuke on that black toilet in mecca,1
deportation is a need,2
deport these peasants,2
time to nuke these fuckers,1
kill them all,1
this is depressing where is hitler when we need him,2
im surprised that everyone doesnt stone all muslims to death,1
i wish i meteor would come already and wipe out the human race,1
kill them johnny kill them all,1
pray allah to dont get a fucking nuke in direction of all your shitty country during the futur ww,1
you motherfuckers with your careers and perverted ass fucking are dying out hahahaha,1
we should castrate them all of them,1
ill kill all you cunts,1
bring bak hitler to sort this issue,1
funny we will conquer you all in just few years u will be my slave and your women will be my sex toy in bed,1
youre going to die a very bad death you scottish scum,1
yeah fuck the us and isreal i hope they die,1
but of them need to be destroyed of the religions need to die,1
we should deport them all,2
the only way to stop them is to stop them from migrating and deport some of them back,2
deport all of them back and burn down all mosques,1
of germans reject multiculturalism why the fuck arent they deporting them,1
its gonna be much different when we remove you from europe = white russia see muslims are pussys the way we conquer you is we will invad you you do it by fertility but the difference is every religion is against you and you will be eradicated form the earth hindu christian catholic buddist satan jewish everyone is against you no one wants your barbaric ass religion ruleing doing public stoneinghangings lashs muhammad had sex with a year old and said it was a miracle lmao,1
so fuck ur racist attitude and die in hell motherfucker,0
my boyfriend will bury you next to muhammad if you come to our country = we will get you out of europe soon sorry hun europe is for europeans = nationalism is growing rapidly your the racist mother fucker your against whire oreservation our land for our people maybe we should kill every single muslim in the middle east and take your land,1
we want someone like hitler to kill em allllllllll,1
im fucking scared kill them d,1
right now we need the mexicans to get rid of these insects,2
not only have we kicked your ass out of europe before and well do it again but were giving you huge beatings in your own countries,1
wear masks and burn down all mosques and protest against multiculturalism,1
we need to burn down all mosques,1
i am promiting murdergenocide and violence agianst muslims thats what im doing,1
fuck you cultural marxist scum we are coming for you like anders breivik style,2
i do wonder how many thumbs up my comment would get if i comment thumbs up if you think iraniranians need to be nuked,1
arabs and iranians are the same shit different smell nuke iran too,1
governments fear islamwhy the fuck i dnt knowand therefore they do things their own way they get away with everythingthere the most racist religion out theretheres a sharia court half an hour from me i would love to go and burn it downit is evil,1
to wipe out islamists with zyklon b would be an act of humanity,1
fk all islamkill them and kill them nowi shit on all of you dirty rapists,1
now the muslims will need to get out of the netherlands they can be deported to indonesia,2
our governments need to wake up ban islam and deport or exterminate these vermin,1
we should kill them,1
i hope iran and russia once get together and bomb the shit out of you piece of shit,1
i am a thin american with an ar looking to hang muslime scalps from my belt,1
we should nuke the haj,1
and if you dont ill decapitate you,0
we should kill them all and solve the worlds problem once and for all these useless rats and there cult violate human rights and deny every evil act of there evil sick twisted lying child molesting thieving warlord rapist false prophet,1
wear the cross like banners and wipe out the enemy,1
before i loose it i will burn it to the ground and for every one man you kill we will slay,1
i hope you will die in paine and burn in hellallahu ekber,0
say we have a peacefull religion or we kill you,1
do you really think if you would insult odin thor loki jesus abraham etc we will kill you,1
death to islam,1
deport all muslims,2
because we would obviously deport you put you in jail etc,2
let me give you some more of those goodies about exterminating all the jews,1
hy motherfuckers what r u saying bitch if i get a small chances i will kill that bitch such a big white ass,0
need to nuke the entire fucking middle east,1
non muslim is the killerthe kill all muslims around the worldgo to hell you all killers,1
keep it up thats what will get you and your entire cult eradicated,2
fortunately i am here to nuke mecca will you join my cause,1
in fact i am learning arabic right now i will warn the people of mecca before the strike give up your evil ways or die,1
same to you but i still wanna nuke mecca,1
one day i will ensure that this religion is killed,1
i myself am planning on nuking mecca,1
if anyone knows where i can get the uranium to do so please pm me,2
so far i have a simple gun assembly design that i am planning on using if anyone knows of a more efficient method please pm me,2
all european american nations must deport all muslims now to save their cultures,2
i mean you can understand why id prefer to wipe out muslims entirely because well never agree on anything right,1
commenter allah isnt doing a very good job protecting the quran,2
if i knew who you were i would burn you personally,0
you ask for it by saying that its the most important thing for us and you should die for it,0
nuke israel for thats the only answer to stop terrorism,1
we need hitler back,2
if my father is a terrorist you kill him and i will revenge kill you and your son will kill me and my brother will kill your son you want to continue,1
thats why i kill you and your father and your mother and you brother,0
ban the quran and deport all muslims from europe problem solved,2
if you really think evry god damn muslim is a threat why dont you kill yourself right here and now,0
soon the whole world will wake up and extermination will repeat itself not the jews this time but the fucking muslims,1
fuck of and die,0
hahahahahahahahahahahahahahahahahahahahahahahahahahaha xd try to take over my house and ill pump you and every other muslim satanic cunt full of ak bullets,1
this man i a hero for speaking the truth about this cult called islam whos members bow down to a rock and satan who was the one who spoke to satan and influenced him to kill millions of those who didnt convert to this evildeath to islam,1
all muslims need to be deported back to muslim lands,2
but the crusades failed in wipping out the jew and muslim dogs sadly,1
deport all muslims back to arabistan then nuke that shit hole,1
get rid of them them demon worshiping invading country destroyers and eastern european fraudsters and fake english students on a one way trip at the welfare office wake up suckers canadians,1
geert wilders must die,1
i cannot understand whats happening to the europeans they are behaving like slaped puppies i am not european or us citizen but i reject this abomination this must stop and only that will happen if europe forget about his extreme politeness towards terrorist invading them and mockering them about itthe solution is to kill all the muslims no other measure will save the world from these chimps,1
you cant speak with them its impossible they lie they only acept your destructionits kill or be killed like in the natureand you cant ignore them because its the main problem hereliberty doesnt apply to the enemy commited to destroy you you have the right to fight when you are being attackedi fell attacked by them too because south america is next if this happensi have a deep respect for the europeani must do somenthing,1
all the muslims have to be killed,1
we take some nukes and drop em on the middle east d,1
may allah guide you other wise may you burn in hell for ever,0
kill the muslims,1
kill them all,1
we need to wipe out all muslim people they are all rats,1
since they have undeniably declared war on all others is it not time to declare war on these declarers of all that is evil,1
commenter and we kill you in mass versions industriele you know,1
i love geert wilders we most kill all of the moslim people,1
fuck you we need to kill your family bitch,0
deport all mulims tear down all mosque and allow no practise of this very evil belief system in any country,1
i burned another koran for you,1
are you still upset that i just took a giant shit on the koran and then burned it out back of a mosque,1
slay them wherever ye find them and drive them out of the places whence they drove you out for persecution is worse than slaughter,2
but if they turn renegades seize them and slay them wherever you find them,1
d but who cares i just blew my nose with the koran and burned itlmao,1
im burning another koran because of you,0
dont worry son when we get rid of our muslim president we will bomb all of the bastards back to the stone ageby the way the flock of seagulls called and they want their hair back,1
hells yea kill em all,1
we can buy several thousands of nukes from korea and we will show u what nuke means,1
we will wage a total ruthless war against them we will fight their fire with a flame thrower and every single terrorist will be exterminated,1
the day you launch your jihad attacks in australia will be the day you are exterminated,1
go ahead if you ever once think about carrying out your thoughts and your hate into action and you would be exterminated,0
all terrorists shall die,1
deport them out if theyre gonna keep having that attitude just do it,2
when islam itself is fucked through and through and those fucktard muslims who follow it through and through definitely need deportation not just from holland but from the whole europe and nonmuslim nations itself you dumbass,1
we still must deport them all before they use suitcase nuclear bombs,1
anders breivik and greet wilders are heroes and both of them are taking steps to stop the islamization of europe,2
declare martial law and put them in detention camps and hunt down and exterminate every muslim terrorist,1
time is short for the sake of civilization and our descendants we must deport them now and use all methods to rid europe of them,2
i support palestine and hope there would come another hitler to crush the state of israel,1
saddam should had wiped u out bitch,0
go shoot ur self,0
god gets a hard on when we kill mudslimes,1
i like the sound a gun or a boot makes when connecting with a mudslimes headnice,1
death to islam,1
u shall die from atheroma and cancer in ur ass,0
kill the cursed motherfcking muslims,1
please send back adolf hitler to help with geert wilders,2
kill them all,1
nah we just kill all islams and then theres nothing to haunt us anymore and so on until there is no more religion >,1
